raw_symbol,instrument_id,date
TQQQ  250404C00070000,1442849101,2025-03-20
TQQQ  250404C00070000,1442843359,2025-03-21
TQQQ  250404C00070000,1442843359,2025-03-22
TQQQ  250404C00070000,1442843359,2025-03-23
TQQQ  250404C00070000,1442873133,2025-03-24
TQQQ  250404C00070000,1442851344,2025-03-25
TQQQ  270115C00054000,1426111612,2025-03-04
TQQQ  270115C00054000,1426095626,2025-03-05
TQQQ  270115C00054000,1426112225,2025-03-06
TQQQ  270115C00054000,1426113792,2025-03-07
TQQQ  270115C00054000,1426113792,2025-03-08
TQQQ  270115C00054000,1426113792,2025-03-09
TQQQ  270115C00054000,1426088623,2025-03-10
TQQQ  270115C00054000,1426108274,2025-03-11
TQQQ  270115C00054000,1426091378,2025-03-12
TQQQ  270115C00054000,1426107665,2025-03-13
TQQQ  270115C00054000,1426099709,2025-03-14
TQQQ  270115C00054000,1426099709,2025-03-15
TQQQ  270115C00054000,1426099709,2025-03-16
TQQQ  270115C00054000,1426077514,2025-03-17
TQQQ  270115C00054000,1426077620,2025-03-18
TQQQ  270115C00054000,1426091928,2025-03-19
TQQQ  270115C00054000,1426067115,2025-03-20
TQQQ  270115C00054000,1426084378,2025-03-21
TQQQ  270115C00054000,1426084378,2025-03-22
TQQQ  270115C00054000,1426084378,2025-03-23
TQQQ  270115C00054000,1426080209,2025-03-24
TQQQ  270115C00054000,1426094143,2025-03-25
TQQQ  270115C00113000,1426081115,2025-02-26
TQQQ  270115C00113000,1426066034,2025-02-27
TQQQ  270115C00113000,1426073909,2025-02-28
TQQQ  270115C00113000,1426073909,2025-03-01
TQQQ  270115C00113000,1426073909,2025-03-02
TQQQ  270115C00113000,1426099384,2025-03-03
TQQQ  270115C00113000,1426107314,2025-03-04
TQQQ  270115C00113000,1426066072,2025-03-05
TQQQ  270115C00113000,1426099204,2025-03-06
TQQQ  270115C00113000,1426066094,2025-03-07
TQQQ  270115C00113000,1426066094,2025-03-08
TQQQ  270115C00113000,1426066094,2025-03-09
TQQQ  270115C00113000,1426100446,2025-03-10
TQQQ  270115C00113000,1426082239,2025-03-11
TQQQ  270115C00113000,1426074271,2025-03-12
TQQQ  270115C00113000,1426066187,2025-03-13
TQQQ  270115C00113000,1426090698,2025-03-14
